otu sim del ins mis len score hit i
denovo886  96.47  6  3  1 283 1291.0 C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo887  96.32  7  1  2 272 1237.5 C15_AY239369 56
denovo884  97.89  1  2  3 284 1351.5 C15.23_KC597697 56
denovo883  96.47  4  1  5 283 1307.0 C15a_AY258476;C15.4_FJ461511 56
denovo446  95.96  6  1  4 272 1224.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695;C1087_DQ182655 56
denovo444  96.34  6  1  3 273 1238.5 C15.23_KC597697 56
denovo445  97.14  5  2  1 280 1290.0 C15.23_KC597697 56
denovo442  97.52  1  4  2 282 1308.5 C15.23_KC597697 56
denovo441  97.78  0  1  5 270 1267.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo366  97.17  4  1  3 283 1330.5 C3k_AY589737 56
denovo364  97.79  2  2  2 271 1279.5 D1a_multiple;D120_EU074900 56
denovo289  95.41  6  2  5 283 1276.0 C15_AY239369;C15.22_KC597695 56
denovo361  97.88  0  2  4 283 1342.5 C3k_AY589737 56
denovo360  98.58  1  1  2 282 1360.5 C3b_AF499791 56
denovo284  96.68  6  2  1 271 1113.5 D1_multiple;D1a_multiple;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D1.12_HE579041;D123_EU074895 56
denovo285  97.18  1  3  4 284 1250.0 C1054_AY186565 56
denovo286  97.88  1  2  3 283 1346.5 C3_multiple 56
denovo281  97.53  1  2  4 283 1294.0 C15.29_KC597690 56
denovo667  96.11  3  3  5 283 1215.0 C3_multiple;C3.7_FJ461502;C1011_DQ480605;C1114_AB207196;C1190_EU099841;C1182_AB294649 56
denovo665  98.52  1  0  3 271 1317.5 D1a_multiple 56
denovo662  98.59  3  1  0 283 1361.0 C15_AY239369;C15.22_KC597695 56
denovo549  97.17  2  4  2 283 1308.5 C3k_AY589737 56
denovo548  94.70  4  2  9 283 1255.5 C3k_AY589737 56
denovo547  96.47  1  5  4 283 1285.5 C3k_AY589737 56
denovo546  98.59  0  2  2 283 1366.0 C15_AY239369;C15.22_KC597695 56
denovo545  97.53  1  2  4 283 1150.5 C3k_AY589737 56
denovo542  99.20  0  1  1 251 1225.0 A3/A6_multiple 56
denovo541  98.19  0  4  1 276 1303.5 C21.12_FJ461514 56
denovo540  97.88  0  2  4 283 1348.0 C3_multiple 56
denovo149  96.31  5  1  4 271 1249.0 D1.11_HE579040 56
denovo142  98.59  0  1  3 283 1367.0 C3k_AY589737 56
denovo141  99.28  0  0  2 276 1362.0 C21.12_FJ461514 56
denovo140  95.80  5  1  0 143  566.5 C3k_AY589737 56
denovo147  98.24  0  4  1 284 1343.5 C15.23_KC597697 56
denovo146  93.73 12  3  2 271 1026.5 D1_multiple;D1a_multiple;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D1.12_HE579041;D123_EU074895 56
denovo145  96.60  7  0  2 265 1219.5 D1_multiple 56
denovo144  98.52  3  1  0 271  802.0 D1_multiple;D122_EU074905;D114_AF174549;D121_EU074904;D115_AF174562;D107_AF174568;D1.11_HE579040;D105_AF174570;D1.6_HQ630881;D1.3_JF683337 56
denovo893  97.53  0  5  2 283 1308.5 C3k_AY589737 56
denovo719  96.82  2  2  5 283 1279.5 C3_multiple;C3.7_FJ461502;C70_AY589774;C1012_DQ480604 56
denovo712  95.94  8  2  1 271 1101.0 D1.12_HE579041 56
denovo716  96.43  1  1  7 252 1145.5 C3k_AY589737 56
denovo717  98.59  0  1  3 283 1367.0 C3_multiple 56
denovo714  96.65  4  2  3 269 1227.5 C15a_AY258476 56
denovo715  95.76  5  3  4 283 1279.5 C3k_AY589737 56
denovo790  94.70  8  2  5 283 1248.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo92  98.59  1  2  1 283 1363.5 C3_multiple 56
denovo93  95.05  3  4  7 283 1187.0 C3k_AY589737 56
denovo91  95.76  3  2  7 283 1289.5 C3k_AY589737 56
denovo95  99.20  0  2  0 251 1224.0 A3/A6_multiple 56
denovo789  98.94  0  2  1 284 1374.5 C15.23_KC597697 56
denovo98  97.86  2  3  1 281 1312.0 C15.25_KC597685 56
denovo99  99.65  1  0  0 282 1382.0 C15_AY239369 56
denovo432  96.11  0  4  7 283 1163.5 C1233_EU118166;C15_AY239369;C15.1_FJ461508;C1088_DQ182640;C15.6_FN563472;C15.22_KC597695 56
denovo558  96.82  4  4  1 283 1296.5 C3k_AY589737 56
denovo79  96.50  4  2  3 257 1166.5 D1.11_HE579040 56
denovo70  97.25  3  1  3 255 1195.5 A1/A13_multiple;A1.4_HE578977 56
denovo73  97.17  2  3  3 283 1320.5 C3k_AY589737 56
denovo75  98.55  1  2  1 276 1324.0 C21/3d/C3k_AY239372 56
denovo76  98.26  0  2  3 287 1371.5 G3.1_KC597688 56
denovo77  96.44  3  1  5 253 1155.0 A1.3_HE578976 56
denovo880  99.65  0  1  0 283 1399.5 C1d_AY258488 56
denovo559  98.89  0  1  2 271 1321.5 D1a_multiple 56
denovo770  96.82  4  2  3 283 1309.5 C3k_AY589737 56
denovo843  98.23  4  1  0 283 1357.5 C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo840  98.59  0  3  1 283 1227.5 C15.1_FJ461508 56
denovo847  96.17  6  2  3 287 1303.0 C55_AY589759 56
denovo848  98.23  0  4  1 283 1283.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo849  97.54  2  2  3 284 1335.5 C15.23_KC597697 56
denovo322  97.85  1  3  2 279 1296.0 C1233_EU118166;C15_AY239369;C1101_AB253787;C15.6_FN563472;C15.22_KC597695 56
denovo320  98.94  0  2  1 283 1369.5 C40_AY258485 56
denovo327  95.39  3  3  7 282 1263.0 C3.1_JF683321 56
denovo326  95.04  1  8  5 282 1148.0 C3.15_FJ529649 56
denovo240  98.23  0  1  4 283 1363.5 C3k_AY589737 56
denovo241  97.53  4  1  2 283 1339.5 C3k_AY589737 56
denovo328  98.47  1  2  1 261 1249.0 D2_AY686649 56
denovo245  98.94  0  1  2 283 1381.5 C3_multiple 56
denovo246  97.87  2  3  1 282 1333.5 C3.2_FJ461497 56
denovo363  98.23  0  2  3 283 1357.0 C3_multiple;C50_AY589755;C1232_EU118163;C1060_DQ480600;C1085_AY624605;C1002_DQ838544 56
denovo750  96.86  1  2  5 255 1183.0 A1_AF333505 56
denovo610  97.71  2  1  3 262 1221.5 C3k_AY589737 56
denovo187  97.17  0  4  4 283 1311.5 C3k_AY589737 56
denovo186  97.17  7  1  0 283 1309.5 C1d_AY258488 56
denovo185  94.95  7  3  1 218  918.5 C1d_AY258488 56
denovo184  96.86  1  4  4 287 1301.5 I1_FN561559 56
denovo183  97.89  1  4  1 284 1333.0 C1054_AY186565 56
denovo182  97.89  2  2  2 284 1344.5 C15.23_KC597697 56
denovo748  96.44  4  1  3 225 1001.0 C3k_AY589737 56
denovo188  97.89  1  4  1 284 1298.5 C15.23_KC597697 56
denovo436  95.47  3  4  6 287 1276.5 C55_AY589759 56
denovo434  96.80  2  4  3 281 1278.5 C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo369  98.58  0  3  1 282 1354.5 C3b_AF499791 56
denovo430  97.53  5  2  0 283 1276.5 C15_AY239369;C15.22_KC597695 56
denovo368  98.23  0  3  2 283 1350.5 C3k_AY589737 56
denovo438  96.54  4  1  4 260 1179.5 C3k_AY589737 56
denovo757  98.82  0  2  1 255 1229.5 A1.4_HE578977 56
denovo754  97.53  4  2  1 283 1256.0 C15.6_FN563472;C15.22_KC597695 56
denovo755  97.17  5  2  1 283 1317.0 C40_AY258485 56
denovo509  96.68  5  1  3 271 1254.5 D1_multiple 56
denovo753  98.19  2  1  2 276 1320.0 C21/3d/C3k_AY239372 56
denovo619  93.64 11  2  5 283 1217.0 C3_multiple;C50_AY589755;C1232_EU118163;C1060_DQ480600;C1085_AY624605;C7_AF499797;C1040_AB190269 56
denovo618  96.68  6  2  1 271 1246.5 D1_multiple 56
denovo617  97.87  0  3  3 282 1331.0 C3b_AF499791 56
denovo615  98.23  0  4  1 283 1338.5 C1p_GU907652;C1207_EU074964;C1.5_EF634157 56
denovo614  95.76  2  4  6 283 1272.5 C3k_AY589737 56
denovo613  94.83 11  2  1 271 1198.5 D1a_multiple;D120_EU074900 56
denovo589  98.01  0  3  2 251 1185.0 A3/A6_multiple 56
denovo85  92.93  3  5 12 283 1191.5 C3k_AY589737 56
denovo660  97.88  5  1  0 283 1347.0 C15_AY239369 56
denovo588  97.21  0  2  5 251 1173.5 A8_AY258468 56
denovo110  97.17  8  0  0 283 1330.5 C1d_AY258488 56
denovo111  96.11  6  1  4 283 1300.5 C3k_AY589737 56
denovo113  96.41  6  2  1 251 1146.5 A3/A6_multiple 56
denovo117  97.61  3  2  1 251 1178.0 A3/A6_multiple 56
denovo118  97.61  2  3  1 251 1173.0 A3/A6_multiple 56
denovo501  97.70  2  1  3 261 1214.5 C3_multiple;C1022_DQ335331;C1045_DQ068036 56
denovo500  98.23  0  3  2 283 1345.0 C15.24_KC597696;C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo507  97.46  5  0  1 236 1085.0 C1d_AY258488 56
denovo506  97.88  0  3  3 283 1330.5 C3k_AY589737 56
denovo505  97.53  1  3  3 283 1193.5 C3_multiple;C1003_DQ480639;C1045_DQ068036 56
denovo838  97.88  0  3  3 283 1336.0 C3k_AY589737 56
denovo794  98.94  1  2  0 283 1373.5 C15_AY239369;C15.22_KC597695 56
denovo795  96.23  9  0  1 265 1206.0 C21/3d/C3k_AY239372 56
denovo34  96.11  5  2  4 283 1290.0 C3k_AY589737 56
denovo35  97.53  2  1  4 283 1336.5 C3.11_FJ461506 56
denovo36  96.54  5  1  3 260 1178.0 C3k_AY589737 56
denovo37  96.82  6  1  2 283 1318.5 C3k_AY589737 56
denovo31  98.52  2  2  0 271 1303.0 D1_multiple 56
denovo32  96.47  6  1  3 283 1309.5 C3k_AY589737 56
denovo33  97.88  0  1  5 283 1349.0 C3k_AY589737 56
denovo39  98.78  1  0  2 245 1165.5 C3k_AY589737 56
denovo650  95.65  7  2  2 253 1126.0 A1.4_HE578977 56
denovo6  99.29  0  2  0 283 1384.0 C1d_AY258488 56
denovo7  91.52  0  4 20 283 1145.5 C15_AY239369 56
denovo655  97.61  0  3  3 251 1176.0 A3/A6_multiple 56
denovo654  98.23  0  1  4 283 1363.5 C3_multiple;C1.7_FJ461494 56
denovo809  97.88  2  2  2 283 1345.0 C15_AY239369;C15.22_KC597695 56
denovo806  99.29  0  2  0 283 1384.0 C15_AY239369;C15.22_KC597695 56
denovo807  97.35  4  2  1 264 1212.5 C15.23_KC597697 56
denovo804  98.23  0  1  4 283 1363.5 C3k_AY589737 56
denovo805  97.16  4  2  2 282 1307.5 C15.23_KC597697 56
denovo802  95.41  7  2  4 283 1263.5 C3k_AY589737 56
denovo803  95.76  6  1  5 283 1286.0 C3k_AY589737 56
denovo800  97.40  1  4  2 269 1226.5 C3k_AY589737 56
denovo204  96.47  3  1  5 255 1176.0 A1.3_HE578976 56
denovo205  96.86  7  1  0 255 1185.0 A1.4_HE578977 56
denovo207  99.64  0  0  1 280 1391.0 C31_AY258496 56
denovo200  96.11  6  2  3 283 1288.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo201  97.53  2  1  4 283 1342.5 C3k_AY589737 56
denovo208  99.63  0  1  0 271 1339.5 D1_multiple 56
denovo508  94.67  3  8  1 225  921.5 C1d_AY258488 56
denovo385  95.76  3  3  6 283 1277.5 C3k_AY589737 56
denovo384  96.75  5  1  3 277 1277.0 C3k_AY589737 56
denovo386  95.70  9  1  2 279 1254.0 C15_AY239369 56
denovo380  98.23  1  1  3 283 1362.0 C3k_AY589737 56
denovo383  95.76  1  3  8 283 1280.5 C3k_AY589737 56
denovo382  98.55  0  3  1 276 1319.0 C21/3d/C3k_AY239372 56
denovo388  98.59  0  0  4 283 1379.0 C93_AJ621536 56
denovo503  95.73  8  0  4 281 1273.5 C1d_AY258488 56
denovo759  99.21  0  1  1 252 1230.0 A5_AF333508 56
denovo502  97.17  0  5  3 283 1013.5 C1045_DQ068036 56
denovo771  95.52  5  5  2 268 1163.5 C3k_AY589737 56
denovo378  96.99  1  4  3 266 1046.5 C15.23_KC597697 56
denovo477  97.14  8  0  0 280 1304.5 C15_AY239369 56
denovo476  97.17  4  2  2 283 1324.0 C3_multiple;C7_AF499797;C1002_DQ838544 56
denovo475  98.23  0  1  4 283 1358.0 C3_multiple 56
denovo474  97.53  1  2  4 283 1304.5 C3_multiple;C3.7_FJ461502;C70_AY589774;C1012_DQ480604 56
denovo370  98.95  0  3  0 287 1377.5 C55_AY589759 56
denovo372  97.46  1  4  2 276 1289.5 C21.12_FJ461514 56
denovo376  96.59  2  5  2 264  585.5 C69a_AY686648 56
denovo270  98.41  0  2  2 251 1200.5 A7_AY239360 56
denovo273  95.76  2  2  8 283 1285.5 C15a_AY258476;C15.4_FJ461511 56
