"","denovo592 184_denovo4","denovo364 113_denovo5","denovo613 103_denovo1","denovo45 126_denovo3","denovo712 101_denovo24","denovo79 101_denovo26","denovo134 103_denovo3","denovo559 171_denovo16","denovo645 127_denovo14","denovo747 127_denovo0","denovo274 185_denovo17","denovo145 101_denovo1","denovo721 101_denovo21","denovo284 101_denovo13","denovo43 126_denovo5","denovo513 161_denovo5","denovo390 103_denovo12","denovo353 166_denovo9","denovo146 101_denovo6","denovo28 172_denovo22","denovo52 126_denovo8","denovo131 103_denovo2","denovo665 126_denovo10","denovo653 184_denovo14","denovo31 127_denovo6","denovo509 161_denovo0","denovo328 185_denovo6","denovo890 101_denovo19","denovo219 125_denovo11","denovo774 101_denovo9","denovo628 127_denovo1","denovo904 176_denovo6","denovo208 173_denovo13","denovo798 176_denovo10","denovo826 114_denovo3","denovo57 184_denovo12","denovo797 101_denovo7","denovo621 103_denovo9","denovo517 161_denovo9","denovo149 101_denovo5","denovo44 126_denovo4","denovo179 173_denovo18","denovo486 126_denovo11","denovo896 116_denovo15","denovo618 103_denovo6","denovo233 185_denovo7","denovo483 161_denovo14","denovo237 185_denovo3","denovo745 127_denovo2","denovo144 101_denovo0"
"denovo592 184_denovo4",0,0.0849718577324175,0.0605227532668802,0.104068846970394,0.109326077561851,0.198810693121886,0.0618984460590173,0.104257207028537,0.181236627999053,0.127000127000191,0.159255514317652,0.0617802063215215,0.17025130615175,0.0632455532033676,0.104828483672192,0.136845137875993,0.0603022689155527,0.18394180184549,0.142277598306118,0.120385853085769,0.107211253483779,0,0.105021006302101,0.122627867896993,0,0.0849718577324175,0.122627867896993,0.105214593574784,0.147441956154897,0.0633724250524478,0.104068846970394,0.086710996952412,0,0.060084176812611,0,0.19034674690672,0.120168353625222,0.0603022689155527,0.147441956154897,0.160422236979937,0.060084176812611,0.0613139339484966,0.122398012272421,0,0,0.109544511501033,0.13710212427677,0.104257207028537,0.12427395320024,0.150755672288882
"denovo364 113_denovo5",0.0849718577324175,0,0.0604122093330177,0.133155910322827,0.171184197004365,0.217786202592188,0.0617802063215215,0.100843896817922,0.211361158964698,0.155542754209564,0.159255514317652,0.107006456250963,0.19034674690672,0.105409255338946,0.135085806739575,0.136845137875993,0.0603022689155527,0.177704663327728,0.155542754209564,0.142614806562459,0.138144740998884,0.0823386969592618,0.105021006302101,0.118678165819385,0.100335009313598,0.116247638743819,0.118678165819385,0.13583145623104,0.154041596847482,0.0859073559175116,0.130632486068291,0.0839181358296689,0.0823386969592618,0.0595491334175414,0.0823386969592618,0.184114923579665,0.146910632062318,0.101885341621699,0.142614806562459,0.18190171877725,0.10223972648865,0.058925565098879,0.117647058823529,0.0846667513334603,0.0829026672289678,0.136335470787303,0.131761569173682,0.178964995881568,0.152203886829552,0.168549965615811
"denovo613 103_denovo1",0.0605227532668802,0.0604122093330177,0,0.12104550653376,0.126238880619561,0.225788379144859,0,0.104828483672192,0.191389750587738,0.154919333848297,0.148522131446501,0.106600358177805,0.191389750587738,0.0898026510133875,0.133869888150416,0.121942152169938,0,0.174408288078779,0.153998100701804,0.147979087100097,0.12285902336679,0.0606339062590832,0.104828483672192,0.107006456250963,0.0854357657716761,0.104446593573419,0.107006456250963,0.121267812518166,0.13558153613666,0.0901669634667432,0.134839972492648,0.0617802063215215,0.0855920985021826,0,0.0855920985021826,0.18190171877725,0.147175574806061,0.104828483672192,0.135332990490192,0.171184197004365,0.0849718577324175,0.0616626415978207,0.106600358177805,0.0605227532668802,0.0601929265428846,0.110431526074847,0.123325283195641,0.12104550653376,0.151619608715781,0.198307444884526
"denovo45 126_denovo3",0.104068846970394,0.133155910322827,0.12104550653376,0,0.153093108923949,0.217786202592188,0.123796892118035,0.133392632128052,0.207390338946085,0.155542754209564,0.180578779628654,0.107006456250963,0.19034674690672,0.108465228909328,0.14824986333222,0.161917350720729,0.104446593573419,0.201470608040128,0.179968508266339,0.146124307243045,0.0875376219064817,0.0843649081219196,0.13558153613666,0.149071198499986,0.103142124625879,0.133155910322827,0.149071198499986,0.134839972492648,0.168729816243839,0.108678533400333,0.119098266835083,0.121716123890037,0.0843649081219196,0.119309997254379,0.0843649081219196,0.206650977095487,0.158967789576202,0.0597614304667197,0.168729816243839,0.18190171877725,0.119098266835083,0.105214593574784,0.148522131446501,0.0846667513334603,0.103142124625879,0.140028008402801,0.160717946423488,0.178964995881568,0.12427395320024,0.184637236468999
"denovo712 101_denovo24",0.109326077561851,0.171184197004365,0.126238880619561,0.153093108923949,0,0.228416096288064,0.129640744710433,0.171814711835023,0.237022731569989,0.177571201301144,0.166998341953264,0.144337567297406,0.19960119601395,0.171814711835023,0.155230105141267,0.157134840263677,0.126491106406735,0.239731650742692,0.154919333848297,0.191389750587738,0.159111456835146,0.149348025476585,0.154919333848297,0.186771841909407,0.170871531543352,0.160422236979937,0.164717281867254,0.127775312999988,0.210818510677892,0.171498585142509,0.172452245423691,0.164717281867254,0.148795905193033,0.108042360909843,0.148795905193033,0.219834341144573,0.165359456941537,0.1625272110744,0.192094687598825,0.210182555953888,0.123325283195641,0.16314401485114,0.204124145231932,0.108893101296094,0.136845137875993,0.172773685116272,0.195366166291141,0.1875,0.172223740956793,0.227184733698826
"denovo79 101_denovo26",0.198810693121886,0.217786202592188,0.225788379144859,0.217786202592188,0.228416096288064,0,0.217357066800666,0.226232407851317,0.266732534684632,0.219528519979381,0.208514414057075,0.196116135138184,0.152498570332605,0.197385508487931,0.226679066544501,0.188236741541448,0.217786202592188,0.286299167156934,0.185296421844832,0.217357066800666,0.217786202592188,0.198810693121886,0.234311674451602,0.231296222162904,0.198418947533136,0.188236741541448,0.181443684650606,0.153392997769474,0.251477845384773,0.209426954145848,0.207695100813574,0.222222222222222,0.198029508595335,0.208514414057075,0.198418947533136,0.235235984448482,0.177122977108019,0.208927723509336,0.208103547817362,0.196116135138184,0.217357066800666,0.21189138534559,0.247435829652697,0.198810693121886,0.198810693121886,0.175604682184976,0.202444082544729,0.177122977108019,0.21650635094611,0.236359729623533
"denovo134 103_denovo3",0.0618984460590173,0.0617802063215215,0,0.123796892118035,0.129640744710433,0.217357066800666,0,0.107211253483779,0.195740073171568,0.141705050316284,0.151619608715781,0.107211253483779,0.195740073171568,0.0922531208028885,0.123325283195641,0.123560412643043,0,0.178528737070981,0.158444319905954,0.138144740998884,0.137620470640795,0.0620173672946042,0.107211253483779,0.0894427190999916,0.0872041440393895,0.106600358177805,0.109326077561851,0.12427395320024,0.138675049056307,0.0924500327042049,0.137620470640795,0.0631194403097803,0.0875376219064817,0,0.0875376219064817,0.186052101883813,0.151042008106777,0.0877058019307029,0.138144740998884,0.175075243812963,0.0870388279778489,0.0631194403097803,0.109108945117996,0.0620173672946042,0.0616626415978207,0.112986536573206,0.125988157669742,0.123560412643043,0.151619608715781,0.198307444884526
"denovo559 171_denovo16",0.104257207028537,0.100843896817922,0.104828483672192,0.133392632128052,0.171814711835023,0.226232407851317,0.107211253483779,0,0.218963936481449,0.168005376258062,0.169943715464835,0.123091490979333,0.199637352376173,0.105214593574784,0.148522131446501,0.161314304488826,0.104257207028537,0.186663348236639,0.168345124585359,0.153522062157279,0.15191090506255,0.100843896817922,0.120824418666035,0.118678165819385,0.116247638743819,0.130188910980824,0.118678165819385,0.148795905193033,0.164398987305357,0.105409255338946,0.143100718725165,0.0839181358296689,0.100673408282104,0.0845154254728517,0.100503781525921,0.193101360930524,0.158681618705847,0.131306432859723,0.164121987972444,0.200364631114026,0.132221471336986,0.0591312395989083,0.131761569173682,0.103695169473043,0.101885341621699,0.149348025476585,0.14484136487558,0.197502132136799,0.163767894813506,0.198307444884526
"denovo645 127_denovo14",0.181236627999053,0.211361158964698,0.191389750587738,0.207390338946085,0.237022731569989,0.266732534684632,0.195740073171568,0.218963936481449,0,0.21997067253203,0.241209075662211,0.184987924793462,0.255840859626733,0.212397697621437,0.209656967344384,0.220244097960802,0.191389750587738,0.222812454927731,0.238075958348003,0.233682495134794,0.214422506967559,0.194423988451074,0.200731263865498,0.223606797749979,0.203069233026724,0.218589958520217,0.223606797749979,0.201470608040128,0.218963936481449,0.212798070639573,0.219339840511793,0.207019667802706,0.194423988451074,0.207390338946085,0.194090785141161,0.24170073228324,0.217422922601844,0.212091251497882,0.241286506216555,0.234403615469248,0.205556612948259,0.206650977095487,0.230224962957766,0.190002850064127,0.195433989992643,0.229848186156091,0.238619994508757,0.246843877059118,0.21483446221183,0.259645393444749
"denovo747 127_denovo0",0.127000127000191,0.155542754209564,0.154919333848297,0.155542754209564,0.177571201301144,0.219528519979381,0.141705050316284,0.168005376258062,0.21997067253203,0,0.210182555953888,0.109326077561851,0.2,0.115214305896385,0.179244285979288,0.178885438199983,0.142277598306118,0.233713176221401,0.175992759303994,0.155542754209564,0.167667676667856,0.127000127000191,0.168005376258062,0.171498585142509,0.126744850104896,0.154919333848297,0.182955741498539,0.155230105141267,0.200804832225625,0.150414209399047,0.14142135623731,0.158444319905954,0.127000127000191,0.141705050316284,0.127000127000191,0.237595481655746,0.179605302026775,0.155542754209564,0.200401204014051,0.189736659610103,0.141990458561766,0.144942758913112,0.182955741498539,0.126744850104896,0.127000127000191,0.177172612243394,0.194053868205945,0.167332005306815,0.154610421609022,0.150329205600566
