otu	sim	del	ins	mis	len	score	hit
1	denovo173	82.87	0	13	30	251	173	A15b_EU792886
2	denovo457	82.47	0	11	33	251	177	A155_EU074856
3	denovo685	86.46	0	11	28	288	181.5	B20_GU907642
4	denovo453	80.69	1	15	40	290	229.5	G4_AM748601
5	denovo539	72.13	9	14	57	287	280	G3.3_LK392377
6	denovo60	71.08	12	16	55	287	285.5	G3.4_LK392378
7	denovo562	67.94	12	17	63	287	296	G3.4_LK392378
8	denovo670	71.37	13	14	46	255	301.5	A103_AB207206
9	denovo845	69.41	13	14	51	255	302.5	A103_AB207206
10	denovo279	69.12	12	14	58	272	309	D4_DQ865214
11	denovo591	71.76	15	14	43	255	311.5	A103_AB207206
12	denovo64	70.38	11	14	60	287	314	B32_GU907647
13	denovo150	68.63	15	12	58	271	316.5	D112_AF174558
14	denovo733	70.2	13	12	51	255	318.5	A103_AB207206
15	denovo454	70.69	15	16	54	290	320	G4_AM748601
16	denovo525	72.91	14	10	57	299	320	F3.2a_AM748568
17	denovo211	69.14	16	8	55	256	324	A136_DQ865210
18	denovo287	69.97	20	9	59	293	325	F3.2a_AM748568;F3.2_AM748567
19	denovo456	70.69	15	14	56	290	327	G4_AM748601
20	denovo283	71.37	15	13	45	255	329.5	A103_AB207206
21	denovo443	73.2	17	10	51	291	331.5	F3.2a_AM748568
22	denovo107	73.27	15	13	53	303	335	I1_FN561559
23	denovo410	69.73	16	8	65	294	342	F3.2_AM748567
24	denovo786	74.83	18	12	45	298	342.5	F3.2a_AM748568
25	denovo587	75.92	18	13	41	299	349	F3.2a_AM748568
26	denovo527	73.58	18	10	51	299	351.5	F3.2a_AM748568
27	denovo553	73.36	13	13	55	304	355.5	F3.1a_AM748566
28	denovo288	70.16	11	14	66	305	355.5	I2_FN561560
29	denovo222	73.91	19	10	49	299	359.5	F3.2a_AM748568
30	denovo395	73.86	16	14	50	306	361.5	I1_FN561559
31	denovo62	73.2	10	15	57	306	364	I2_FN561560
32	denovo234	73.86	15	14	51	306	365	I1_FN561559
33	denovo227	70.92	16	14	59	306	365	I2_FN561560
34	denovo449	72.91	19	10	52	299	366.5	F3.2a_AM748568
35	denovo761	71.91	20	11	53	299	367.5	F3.2a_AM748568
36	denovo658	70.23	18	9	62	299	368	F3.2a_AM748568;F3.2_AM748567
37	denovo358	72.58	19	11	52	299	369.5	F3.2a_AM748568
38	denovo711	71.91	19	10	55	299	370	F3.2a_AM748568
39	denovo837	69.9	16	8	66	299	371	F3.2_AM748567
40	denovo596	72.58	18	11	53	299	372.5	F3.2a_AM748568
41	denovo54	72.58	17	11	54	299	373	F3.2_AM748567
42	denovo633	71.57	19	10	56	299	373	F3.2a_AM748568
43	denovo756	71.57	21	10	54	299	374.5	F3.2a_AM748568
44	denovo842	71.24	16	9	61	299	374.5	F3.2_AM748567
45	denovo238	72.88	12	17	54	306	375	I2_FN561560
46	denovo365	71.24	17	9	60	299	375.5	F3.2a_AM748568
47	denovo777	69.9	16	7	67	299	377.5	F3.2_AM748567
48	denovo760	71.38	20	11	50	283	380.5	B3_AF333514
49	denovo914	76.32	15	21	36	304	381.5	F3.1_AM748565;F114_AJ291525
50	denovo663	72.58	16	11	55	299	382.5	F3.2a_AM748568
51	denovo906	73.24	20	12	48	299	383.5	F3.2a_AM748568
52	denovo239	72.24	19	10	54	299	387	F3.2a_AM748568
53	denovo401	73.24	20	12	48	299	391.5	F3.2a_AM748568
54	denovo569	89.57	2	14	13	278	397	C63a_AY589767
55	denovo459	82.69	4	13	32	283	403	C1.v1b_FJ919244
56	denovo568	84.42	6	16	21	276	410.5	C3ha_AY589736
57	denovo601	95.81	3	2	4	215	414	C1229_EU074888
58	denovo455	82.59	7	9	27	247	416	C1168_AB294583
59	denovo192	81.52	8	10	33	276	429.5	C21.22_KC597692
60	denovo683	87.29	1	9	20	236	431	C1232_EU118163
61	denovo437	76.64	4	11	49	274	435	C1229_EU074888
62	denovo437	79.71	8	12	36	276	435	C21.22_KC597692
63	denovo607	79.49	12	11	33	273	438	C1168_AB294583
64	denovo669	75.89	10	14	44	282	438	F4.4_AM748582
65	denovo607	74.56	9	9	54	283	438	C15.26_KC597686
66	denovo565	84.1	9	10	26	283	439.5	C1168_AB294583
67	denovo418	92.75	6	1	7	193	441.5	C1229_EU074888
68	denovo210	75.62	9	13	47	283	441.5	C15.26_KC597686
69	denovo463	74.2	10	11	52	283	443	C15.26_KC597686
70	denovo739	77.7	11	9	40	269	443.5	C1159_AB294613
71	denovo534	78.8	10	12	38	283	443.5	C1168_AB294583
72	denovo440	82.75	8	9	32	284	443.5	C1159_AB294613;C1150_AB294622
73	denovo371	94.35	2	4	10	283	444	C65a_AY589770
74	denovo574	77.74	10	13	40	283	444.5	C15.26_KC597686
75	denovo71	77.39	10	13	41	283	445	C15.26_KC597686
76	denovo101	82.69	7	12	30	283	446	F4.7_AM748587
77	denovo339	78.8	10	13	37	283	446.5	C1168_AB294583
78	denovo189	81.52	9	12	30	276	447	C21.22_KC597692
79	denovo892	80.07	8	13	34	276	447	C21.22_KC597692
80	denovo206	80.07	9	10	36	276	447	C21.22_KC597692
81	denovo78	79.35	8	15	34	276	448.5	C21.22_KC597692
82	denovo637	79.15	4	12	43	283	449	C1232_EU118163
83	denovo417	88.04	0	12	21	276	449.5	C3ha_AY589736
84	denovo439	80.43	9	11	34	276	450.5	C21.22_KC597692
85	denovo584	84.78	7	9	26	276	451.5	C21.12_FJ461514
86	denovo606	82.61	9	9	30	276	451.5	C21.22_KC597692
87	denovo497	80.43	10	9	35	276	452	C21.22_KC597692
88	denovo125	82.33	9	10	31	283	454	C1232_EU118163
89	denovo611	79.35	8	13	36	276	456.5	C21.22_KC597692
90	denovo535	83.75	9	12	25	283	456.5	C1168_AB294583
91	denovo139	80.8	9	11	33	276	458.5	C21.22_KC597692
92	denovo139	81.95	10	9	31	277	458.5	C1085_AY624605
93	denovo17	81.52	12	9	30	276	459	C21.22_KC597692
94	denovo643	80.14	7	9	40	282	459.5	C1174_AB294655
95	denovo643	77.63	8	10	48	295	459.5	F3.3_AM748569
96	denovo536	83.7	4	12	29	276	460.5	C21.22_KC597692
97	denovo583	85.87	9	8	23	283	462	C1168_AB294583
98	denovo74	81.52	11	11	29	276	464	C21.22_KC597692
99	denovo609	81.52	10	12	29	276	464.5	C21.22_KC597692
100	denovo640	79.51	14	12	32	283	464.5	C1168_AB294583
101	denovo594	84.21	6	8	31	285	465.5	C48_AY589753
102	denovo168	76.33	9	10	48	283	467	C15.26_KC597686
103	denovo271	77.97	6	9	50	295	467	F3.3_AM748569
104	denovo593	83.75	9	11	26	283	473.5	C1168_AB294583
105	denovo30	83.75	8	10	28	283	474	C1168_AB294583
106	denovo374	80.07	10	10	35	276	476	C21.22_KC597692
107	denovo209	76.68	19	7	40	283	484	C1039_AB190274;C1022_DQ335331
108	denovo600	96.06	2	2	1	127	486	C3k_AY589737
109	denovo471	71.38	15	7	59	283	487	C1085_AY624605
110	denovo470	80.8	10	11	32	276	488.5	C21.22_KC597692
111	denovo676	94.62	3	1	3	130	490	C3.9_FJ461504
112	denovo573	74.91	19	7	45	283	490.5	C1085_AY624605
113	denovo143	72.79	16	8	53	283	494	C1085_AY624605
114	denovo143	70.77	20	6	57	284	494	C1186_AB294628
115	denovo891	76.33	18	10	39	283	496	C1232_EU118163;C1085_AY624605
116	denovo162	93.48	3	3	3	138	496.5	C3k_AY589737
117	denovo190	75.27	20	7	43	283	497.5	C1232_EU118163
118	denovo489	73.03	18	13	51	304	499	F3.1_AM748565
119	denovo336	70.68	25	11	59	324	500	C49_AY589754
120	denovo373	73.5	21	7	47	283	502	C37_AY258481
121	denovo298	70.07	22	6	57	284	503	C3L_AY589738
122	denovo791	70.72	19	6	64	304	507.5	F3.1a_AM748566
123	denovo66	97.62	3	0	0	126	510	C1232_EU118163
124	denovo775	98.41	0	1	1	126	511	C1226_EU074881
125	denovo572	71.48	22	6	53	284	514	C1186_AB294628
126	denovo737	71.83	21	7	52	284	530	C1186_AB294628
127	denovo677	96.38	1	3	1	138	534	C3k_AY589737
128	denovo675	95.62	4	1	1	137	536.5	C3.9_FJ461504
129	denovo555	94.48	5	1	2	145	548.5	C3k_AY589737
130	denovo112	95.17	4	1	2	145	558.5	C1232_EU118163
131	denovo680	97.14	1	2	1	140	566	C21.12_FJ461514
132	denovo140	95.8	5	1	0	143	566.5	C3k_AY589737
133	denovo376	96.59	2	5	2	264	585.5	C69a_AY686648
134	denovo602	98.55	0	0	2	138	590	C1181_AB294640
135	denovo564	96.48	5	3	2	284	593	C1103_AF427470;C1104_AF427469
136	denovo67	95.54	3	3	1	157	625	C1232_EU118163
137	denovo852	97.99	3	0	0	149	636	C1d_AY258488;C42_AY765402
138	denovo195	88.69	1	8	23	283	645.5	C65a_AY589770;C54a_AY765406
139	denovo448	94.58	3	4	4	203	659	C3k_AY589737
140	denovo917	97.59	1	1	2	166	668	C3k_AY589737
